HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,B365CH,B365CA
Ath Bilbao,Barcelona,1,0,H,0,0,D,11,11,5.25,1.65
Celta,Real Madrid,1,3,A,0,1,A,7,17,5.25,1.57
Valencia,Sociedad,1,1,D,0,0,D,14,12,1.66,5.5
Mallorca,Eibar,2,1,H,1,0,H,16,11,2.87,2.55
Leganes,Osasuna,0,1,A,0,0,D,13,4,1.9,5
Villarreal,Granada,4,4,D,1,1,D,12,14,1.53,6.5
Alaves,Levante,1,0,H,0,0,D,9,16,2.3,3.2
Espanol,Sevilla,0,2,A,0,1,A,7,12,3,2.4
Betis,Valladolid,1,2,A,0,0,D,13,14,1.8,4.75
Ath Madrid,Getafe,1,0,H,1,0,H,5,6,1.5,8
Granada,Sevilla,0,1,A,0,0,D,12,11,3.8,1.95
Levante,Villarreal,2,1,H,0,1,A,16,23,2.5,2.7
Osasuna,Eibar,0,0,D,0,0,D,6,12,2.7,2.7
Real Madrid,Valladolid,1,1,D,0,0,D,22,9,1.2,12
Celta,Valencia,1,0,H,1,0,H,11,9,3.2,2.2
Getafe,Ath Bilbao,1,1,D,1,1,D,6,4,2.5,3.3
Alaves,Espanol,0,0,D,0,0,D,10,5,2.6,2.87
Mallorca,Sociedad,0,1,A,0,0,D,12,12,3.1,2.37
Leganes,Ath Madrid,0,1,A,0,0,D,10,6,4.75,1.95
Barcelona,Betis,5,2,H,1,1,D,20,4,1.36,7.5
Sevilla,Celta,1,1,D,0,0,D,19,2,1.57,5.75
Ath Bilbao,Sociedad,2,0,H,2,0,H,15,2,2.4,3.25
Osasuna,Barcelona,2,2,D,1,0,H,15,8,8,1.45
Getafe,Alaves,1,1,D,1,1,D,15,5,1.8,5.25
Levante,Valladolid,2,0,H,0,0,D,16,15,2,3.8
Betis,Leganes,2,1,H,0,0,D,17,19,2.15,3.6
Valencia,Mallorca,2,0,H,1,0,H,9,12,1.4,8
Ath Madrid,Eibar,3,2,H,1,2,A,7,6,1.36,11
Espanol,Granada,0,3,A,0,1,A,15,14,2,4
Villarreal,Real Madrid,2,2,D,1,1,D,10,17,3.8,1.85
Mallorca,Ath Bilbao,0,0,D,0,0,D,10,11,3.5,2.3
Real Madrid,Levante,3,2,H,3,0,H,25,8,1.25,10
Leganes,Villarreal,0,3,A,0,2,A,10,8,2.5,3.1
Sociedad,Ath Madrid,2,0,H,0,0,D,14,12,3.75,2.15
Barcelona,Valencia,5,2,H,2,1,H,17,9,1.55,5.75
Eibar,Espanol,1,2,A,0,0,D,11,7,2,3.9
Alaves,Sevilla,0,1,A,0,1,A,7,19,4,2.05
Celta,Granada,0,2,A,0,1,A,4,13,1.7,4.75
Valladolid,Osasuna,1,1,D,0,0,D,11,17,2.05,3.75
Betis,Getafe,1,1,D,0,1,A,7,12,2.1,3.6
Osasuna,Betis,0,0,D,0,0,D,12,7,2.37,3
Villarreal,Valladolid,2,0,H,0,0,D,18,7,1.61,5.5
Levante,Eibar,0,0,D,0,0,D,13,18,2.3,3
Ath Madrid,Celta,0,0,D,0,0,D,20,6,1.5,7.5
Granada,Barcelona,2,0,H,1,0,H,9,8,7,1.44
Getafe,Mallorca,4,2,H,2,0,H,14,7,1.75,5.5
Espanol,Sociedad,1,3,A,0,2,A,17,10,3,2.4
Valencia,Leganes,1,1,D,1,1,D,13,13,1.57,6.5
Ath Bilbao,Alaves,2,0,H,1,0,H,13,5,1.65,6
